網頁標題,到達網頁,所有使用者,% Δ,工作階段,% Δ,參與度,% Δ,點擊預約賞屋,% Δ,預約賞屋曝光,% Δ,點擊Line,% Δ,點擊客服Omi,% Δ,點擊來電0800,% Δ,點擊實價,% Δ,點擊導航,% Δ
遠雄一靚：楠梓高大特區首發新案，2432坪大基地，早鳥預約諮詢中,/buildings/eh2,4240,,5355,,0.4662931839402428,,10,,359,,9,,25,,10,,0,,32,
遠房實價登錄,/buildings/wdh2,4235,,4592,,1,,0,,0,,0,,0,,0,,0,,0,
遠雄房地產官方LINE,/campaign,4229,,4323,,0.9946796206338191,,0,,0,,0,,0,,0,,0,,0,
遠雄房地產,/campaign,3516,,3598,,0.9772095608671484,,0,,0,,0,,0,,0,,0,,0,
遠雄沐蘊-高雄市三民區預售屋/新建案-預約賞屋,/buildings/eh5,2248,-0.2999065711616319,2430,-0.29667149059334297,0.7267489711934156,-0.00043085371287784625,17,-0.8152173913043478,668,-0.23394495412844038,9,-0.18181818181818182,17,-0.5952380952380952,13,0.18181818181818182,0,,61,-0.031746031746031744
齊興_緻：北士科住宅預售屋，入主北投核心地段，立即預約賞屋,/,2137,,2389,,0.9405609041439933,,0,,72,,3,,7,,0,,0,,6,
遠雄房地產：最懂生活的購屋專家｜卓越建築品質，圓滿您的家,/,1959,,2153,,0.30980027868091037,,7,,0,,7,,18,,1,,0,,0,
活動報報：遠雄房地產最新活動一覽！掌握即時公告與專屬住戶驚喜,/activity_report,2073,,2071,,0.0294543698696282,,0,,0,,0,,0,,0,,0,,0,
高雄建案推薦【遠雄峰蘊】- 三民區預售屋．近科工館,/buildings/eh1,1963,,2057,,0.8784637822070978,,13,,292,,6,,44,,4,,0,,24,
【遠雄樂元】北屯機捷X好市多，雙首排大道最核心，夠近才最好,/buildings/bh7,1797,,2005,,0.8189526184538654,,10,,502,,14,,16,,1,,0,,19,
遠雄14期首發【遠雄丰尚】北屯新案．近漢神洲際百貨,/buildings/bh11,1568,,1861,,0.6190220311660397,,4,,350,,8,,13,,9,,0,,25,
遠房實價登錄,/buildings/eh1,1718,0.001749271137026239,1791,-0.023446019629225736,0.9988833054159687,0.001066656903216694,0,,0,,0,,0,,0,,69,-0.20689655172413793,0,
生活提案： 專家房市觀點、空間美學指南 -遠雄房地產,/life_proposal,1607,199.875,1611,200.375,0.04903786468032278,-0.9019242706393544,0,,0,,0,-1,0,,0,,0,,0,
遠雄THE ONE-高雄市前鎮區新成屋/新建案-預約賞屋,/buildings/o1,1466,0.16719745222929935,1559,0.1305293691080493,0.940987812700449,0.1109779055769855,1,-0.9565217391304348,325,0.03503184713375796,1,0,5,-0.6428571428571429,0,-1,0,,7,0.75
台中七期．在夏綠地，典藏最優雅的【夏綠蒂】25-38坪,/,1500,,1542,,0.5804150453955902,,2,,124,,0,,6,,3,,0,,5,
遠雄合雅｜板橋之心・合院之上｜2~4房．24~66坪,/buildings/fh2,1373,,1526,,0.827653997378768,,11,,449,,7,,7,,7,,0,,16,
遠房實價登錄,/buildings/o1,1372,0.3543928923988154,1453,0.29848078641644327,1,0,0,,0,,0,,0,,0,,68,0.3076923076923077,0,
【遠雄蘊合】千坪旗艦，親水生活｜收納中西區最美流動26-43坪．新案早鳥預約,/,1277,,1331,,0.6634109691960932,,1,,102,,3,,2,,1,,0,,9,
遠雄幸福成｜全新落成 - 台中市梧棲區新成屋-預約賞屋，遠雄房地產,/buildings/h713,1206,,1280,,0.79453125,,1,,158,,4,,5,,2,,0,,9,
【聯上智科】輝達軸線核心｜北士科福國路首排，純商辦地標，符合ESG指標｜預約尊榮鑑賞 遠雄房地產 聯上智科,(not set),940,,1267,,0.08287292817679558,,7,,0,,9,,2,,0,,0,,2,
若水秧翠｜東京視野・頂埔門牌｜1~3房．20~42坪,/,1124,,1168,,0.7773972602739726,,4,,97,,2,,1,,1,,0,,2,
台南永康遠雄山禾：鹽行特區3-4房，鄰商圈與交通樞紐的理想宅,/buildings/dh2,1068,,1132,,0.9063604240282686,,3,,197,,0,,33,,2,,0,,11,
遠雄MetaLink科技園區 | 3700坪超旗艦 森態企業總部,(not set),776,,1106,,0.023508137432188065,,23,,7,,13,,13,,11,,0,,0,
遠房實價登錄,/buildings/bh7,1027,,1058,,0.999054820415879,,0,,0,,0,,0,,0,,4,,0,
台中遠雄洄山行：2-4房方正格局，入主西屯生活圈的質感好宅,/buildings/bh8,968,,1031,,0.9398642095053347,,2,,235,,4,,33,,1,,0,,10,
遠雄琉蘊 -台中市西屯區七期預售屋/新建案-預約賞屋，遠雄房地產,/buildings/bh5,981,-0.33310673011556763,1029,-0.34790874524714827,0.9261418853255587,0.03722632721343632,5,-0.8529411764705882,201,-0.46684350132625996,3,-0.7272727272727273,9,-0.4375,5,-0.16666666666666666,0,,9,-0.18181818181818182
遠房實價登錄,/buildings/dh2,964,-0.8585057977396154,1014,-0.8716130665991391,1,0.0031754096278420146,0,,0,,0,,0,,0,,58,-0.44761904761904764,0,
遠房實價登錄,/buildings/bh8,896,0.16971279373368145,955,0.18633540372670807,1,0,0,,0,,0,,0,,0,,65,31.5,0,
遠房實價登錄,/buildings/bh5,893,-0.2907069102462272,936,-0.30666666666666664,0.9978632478632479,-0.002136752136752129,0,,0,,0,,0,,0,,33,-0.5769230769230769,0,
天母蒔麗｜15~25坪．1-2房｜北投行義路，近石牌站,/,803,,839,,0.7616209773539928,,5,,54,,1,,3,,3,,0,,7,
遠房實價登錄,/buildings/fh2,793,,822,,1,,0,,0,,0,,0,,0,,0,,0,
戶籍遷入辦理教學｜買房後戶籍異動流程與準備文件全攻略 - 遠雄房地產,/life-proposal/land_household_registration,647,,763,,0.8663171690694627,,0,,0,,1,,2,,0,,0,,0,
台中七期．在夏綠地，典藏最優雅的【夏綠蒂】25-38坪,(not set),606,,745,,0.03087248322147651,,0,,12,,0,,8,,5,,0,,4,
【遠雄蘊合】千坪旗艦，親水生活｜收納中西區最美流動26-43坪．新案早鳥預約,(not set),474,,695,,0.030215827338129497,,0,,7,,0,,5,,2,,0,,2,
齊興_緻：北士科住宅預售屋，入主北投核心地段，立即預約賞屋,(not set),568,,633,,0.0631911532385466,,0,,1,,0,,2,,0,,0,,0,
遠雄信義CENTER-新北市板橋區廠辦.商辦/預售新建案-預約賞屋,/buildings/fm3,604,-0.9369782971619366,620,-0.943947201880481,0.8903225806451613,1.1265078955983867,18,-0.7804878048780488,132,-0.5251798561151079,9,-0.71875,14,-0.65,3,-0.8333333333333334,0,,11,-0.3888888888888889
遠房實價登錄,/buildings/h713,597,-0.8614849187935035,613,-0.8647396293027361,0.99836867862969,-0.0014109795740995174,0,,0,,0,,0,,0,,1,-0.5,0,
遠房實價登錄,/buildings/fm3,529,43.083333333333336,540,44,1,0,0,,0,,0,,0,,0,,8,7,0,
贈與稅與遺產稅免稅額解析｜房產贈與、買賣、繼承怎麼選 - 遠雄房地產,/life-proposal/gift_tax,439,,529,,0.775047258979206,,1,,0,,1,,0,,1,,0,,0,
遠雄房地產,/integrate,483,,521,,0.9520153550863724,,0,,0,,0,,0,,0,,0,,0,
高雄建案推薦【遠雄峰蘊】- 三民區預售屋．近科工館,/,473,,507,,0.9921104536489151,,1,,98,,1,,28,,1,,0,,2,
天母蒔麗｜15~25坪．1-2房｜北投行義路，近石牌站,(not set),330,,438,,0.02968036529680365,,0,,2,,0,,2,,0,,0,,1,
北屯敦富路【遠雄敦富】- 北屯機捷預售屋．近好市多,/buildings/bh10,405,-0.9482824671178649,435,-0.9611155805846071,0.9195402298850575,0.18526288186705134,2,-0.9973297730307076,130,-0.8652849740932642,2,-0.9821428571428571,11,-0.9325153374233128,2,-0.9473684210526315,0,,5,-0.4444444444444444
北士科建案【遠雄明玥】2000坪全街廓只蓋一棟．25-46坪,/buildings/ah1,337,,420,,0.830952380952381,,0,,143,,2,,2,,4,,0,,5,
新青安房貸重點一次看！掌握新舊制差異、利率比較與申請資格 - 遠雄房地產,/life-proposal/seo_youth-home-loan,388,,417,,0.7721822541966427,,0,,0,,0,,0,,0,,0,,0,
遠房實價登錄,/buildings/bh10,374,-0.9021966527196653,397,-0.9053860819828408,0.9974811083123426,0.0005810974130025231,0,,0,,0,,0,,0,,28,13,0,
若水秧翠｜東京視野・頂埔門牌｜1~3房．20~42坪,(not set),302,,386,,0.038860103626943004,,0,,3,,0,,2,,0,,0,,0,
自用住宅免稅400萬怎麼申請？「持有、設籍、實住」3點不能忽略 | 專家觀點地政篇 - 遠雄房地產,/life-proposal/expert_zhu_ownership-criteria,348,,383,,0.8537859007832899,,0,,0,,0,,1,,0,,0,,0,
2026 房市脫鉤：住宅冷科技熱！解析量縮價穩下的雙軌發展,/life-proposal/expert_peizhen_2026-q2-housing-outlook,352,,379,,0.6965699208443272,,0,,0,,0,,2,,0,,0,,0,
遠雄THE ONE-高雄市前鎮區新成屋/新建案-預約賞屋,/,323,0.46153846153846156,334,0.42735042735042733,0.9970059880239521,0.01877467771879828,1,-0.8333333333333334,70,-0.2391304347826087,0,,0,-1,0,,0,,2,1
台南永康遠雄山禾：鹽行特區3-4房，鄰商圈與交通樞紐的理想宅,/,313,,334,,0.9910179640718563,,0,,50,,2,,17,,1,,0,,5,
空屋率高房價就會跌？揭開台灣房市「愈空愈貴」的結構真相,/life-proposal/expert_hoshichang_vacancy-rate,294,,320,,0.778125,,0,,0,,0,,0,,0,,0,,0,
遠房實價登錄,(not set),275,0.6081871345029239,305,0.6486486486486487,0.1180327868852459,-0.338301043219076,0,,0,,0,,0,,0,,5,0.6666666666666666,0,
附屬建物陽台、露臺、雨遮規定｜購屋前必知建築法規與容積計算 - 遠雄房地產,/life-proposal/regulations_20230317,270,,289,,0.8235294117647058,,0,,0,,0,,0,,0,,0,,0,
守護個人資訊安全，一起保障您的隱私權益｜ 遠雄房地產,/privacy,242,,280,,0.5035714285714286,,8,,0,,6,,6,,1,,0,,0,
交屋看仔細：常見糾紛與買方注意事項 - 遠雄房地產,/life-proposal/kw_delivery_20230607,240,,273,,0.8534798534798534,,0,,0,,0,,0,,1,,0,,0,
【2026 遺產稅修法】夫妻剩餘財產請求權：最強節稅利器，讓稅金直接對半砍！ - 遠雄房地產,/life-proposal/expert_zhu_inheritance-tax-2026-2,186,,273,,0.6776556776556777,,0,,0,,0,,5,,1,,0,,0,
熱銷建案一覽：遠雄全台預售屋、新建案與新成屋，尋獲理想家園,/case/search,216,,268,,0.458955223880597,,0,,0,,7,,2,,0,,0,,0,
台中遠雄洄山行：2-4房方正格局，入主西屯生活圈的質感好宅,/,235,,266,,0.9924812030075187,,0,,65,,0,,10,,2,,0,,4,
頂客族遺產保衛戰！解析特留份修法趨勢與配偶繼承權益保障,/life-proposal/expert_zhu_legal-reserve,243,,259,,0.9498069498069498,,0,,0,,0,,3,,2,,0,,0,
遠雄建案-賞屋問卷 » SurveyCake Enterprise,/s/yvpMV,200,,259,,0.6447876447876448,,0,,0,,0,,0,,0,,0,,0,
遠雄琉蘊 -台中市西屯區七期預售屋/新建案-預約賞屋，遠雄房地產,/,246,-0.43577981651376146,258,-0.4279379157427938,0.9961240310077519,0.011828689154270525,0,-1,67,-0.7161016949152542,0,-1,0,-1,0,-1,0,,2,0
遠雄琢蘊-高雄市三民區預售屋/新建案-預約賞屋，遠雄房地產,/buildings/h902,237,,254,,0.5984251968503937,,0,,134,,0,,0,,0,,0,,1,
遠雄蘴靚｜高雄楠梓新門戶｜捷運R21站旁｜3795坪豪闊基地,(not set),189,,249,,0.03614457831325301,,2,,8,,2,,6,,0,,0,,1,
【遠雄樂元】北屯機捷X好市多，雙首排大道最核心，夠近才最好,/,231,,242,,0.9752066115702479,,0,,58,,3,,1,,0,,0,,1,
遠雄信義CENTER-新北市板橋區廠辦.商辦/預售新建案-預約賞屋,/,223,16.153846153846153,242,11.736842105263158,1,0,0,,47,8.4,3,,7,6,3,,0,,7,
熱銷建案一覽：遠雄全台預售屋、新建案與新成屋，尋獲理想家園,/,192,,241,,0.995850622406639,,1,,0,,1,,1,,2,,0,,0,
北士科遠雄泱玥：水岸首排57-75坪大器空間，坐擁絕美壯闊景觀,/buildings/ah2,220,,235,,0.9531914893617022,,2,,66,,0,,1,,1,,0,,6,
遠房實價登錄,/buildings/ah2,210,-0.9187935034802784,224,-0.9161676646706587,1,0.00037439161362785075,0,,0,,0,,0,,0,,10,,0,
法定空地可以約定專用嗎？解析產權共有原則、規約規範與權益保障,/life-proposal/expert_zhu_property_openspace_20240705,196,,223,,0.905829596412556,,0,,0,,0,,1,,0,,0,,0,
遠房實價登錄,/buildings/ah1,202,,222,,1,,0,,0,,0,,0,,0,,0,,0,
生活提案： 專家房市觀點、空間美學指南 -遠雄房地產,(not set),215,52.75,216,42.2,0,,0,,0,,0,,0,,0,,0,,0,
換屋族必讀：房地合一稅與土地增值稅完整攻略 - 遠雄房地產,/life-proposal/house_and_land,191,,210,,0.8857142857142857,,0,,0,,0,,0,,0,,0,,0,
空屋率高房價就會跌？揭開台灣房市「愈空愈貴」的結構真相,/integrate,194,,204,,0.9950980392156863,,4,,0,,1,,4,,4,,0,,0,
北屯敦富路【遠雄敦富】- 北屯機捷預售屋．近好市多,/,178,-0.660952380952381,193,-0.649090909090909,0.9948186528497409,0.1567658754066755,0,-1,51,-0.5714285714285714,0,-1,0,-1,0,,0,,0,
樓梯間與梯廳公共設施：建築法規與容積計算完整解析 - 遠雄房地產,/life-proposal/regulations2_20230320,176,,190,,0.7947368421052632,,0,,0,,0,,0,,0,,0,,0,
活動報報：遠雄房地產最新活動一覽！掌握即時公告與專屬住戶驚喜,(not set),188,,188,,0,,0,,0,,0,,0,,0,,0,,0,
遠雄合雅｜板橋之心・合院之上｜2~4房．24~66坪,/,174,,184,,0.9836956521739131,,1,,50,,0,,0,,0,,0,,2,
空屋稅的真相？房子閒置前你該考慮的事｜專家觀點地政篇 - 遠雄房地產,/life-proposal/expert_zhu_eht_20250625,157,,178,,0.7865168539325843,,0,,0,,0,,0,,0,,0,,0,
遠雄仰森,/HH3/main,162,5.230769230769231,171,5.333333333333333,0.5847953216374269,-0.24812030075187974,0,,0,,0,,0,,0,,0,,0,
房屋格局圖/平面圖怎麼看？建案平面圖符號教學，讓你秒懂房屋格局避地雷,/life-proposal/house-layout,151,-0.6463700234192038,165,-0.6808510638297872,0.7333333333333333,-0.10792156862745107,0,,0,,0,-1,0,,0,,0,,0,
高雄預售屋入手指南：最新建案推薦、選房與區域優勢總整理 - 遠雄房地產,/life-proposal/area_presold-house-in-kaohsiung,152,,163,,0.7484662576687117,,1,,0,,0,,1,,0,,0,,0,
遠雄幸福成｜全新落成 - 台中市梧棲區新成屋-預約賞屋，遠雄房地產,/,153,,157,,0.9681528662420382,,2,,37,,1,,1,,1,,0,,1,
2026 遺產傳承攻略：頂客族節稅必懂遺贈稅修法與遺囑信託,/jul2026,137,,156,,0.7564102564102564,,0,,0,,0,,0,,0,,0,,0,
驗屋與交屋必知注意事項？新手購屋必看，驗屋清單檢查表與交屋流程有哪些？,/life-proposal/home-inspection,149,-0.38934426229508196,155,-0.43636363636363634,0.6516129032258065,-0.185483870967742,0,,0,,0,,0,,0,,0,,0,
買房前必查：銀行不會主動告訴你的「抵押權與順位」 | 專家觀點地政篇 - 遠雄房地產,/life-proposal/expert_zhu_mortgage-lien-priority,143,,154,,0.7922077922077922,,0,,0,,0,,0,,0,,0,,0,
國家級的建築肯定-遠雄房地產,/farglory-realty-about/national-building,122,11.2,154,13,0.8896103896103896,-0.021428571428571377,1,,0,,0,,17,,0,,0,,0,
遠雄一靚：楠梓高大特區首發新案，2432坪大基地，早鳥預約諮詢中,(not set),120,,153,,0.032679738562091505,,0,,0,,0,,0,,0,,0,,0,
遠雄藝舍-台中西屯區麥當勞旁金店面-預約賞屋，遠雄房地產,/buildings/bh6,148,2.217391304347826,150,2.061224489795918,0.49333333333333335,-0.43782945736434103,0,-1,65,4.416666666666667,0,,0,,0,,0,,0,
全齡住宅趨勢：0到100歲都適用！通用設計重點與健康居住價值,/life-proposal/allagehouse,141,,150,,0.8133333333333334,,0,,0,,0,,0,,0,,0,,0,
樓高的秘密解析：樓層高度與淨高如何影響居住品質 - 遠雄房地產,/life-proposal/floor_height,133,,144,,0.7638888888888888,,0,,0,,0,,0,,0,,0,,0,
【2026遺贈稅修法】資產傳承不踩雷！別讓擬制遺產害你背稅單 - 遠雄房地產,/life-proposal/expert_zhu_inheritance-tax-2026,126,,143,,0.6503496503496503,,0,,0,,0,,0,,0,,0,,0,
都市土地分區解析｜買房必看土地使用分區與建物用途全攻略 - 遠雄房地產,/life-proposal/land_zoning,129,,138,,0.7898550724637681,,0,,0,,0,,0,,0,,0,,0,
遠雄星呈-台中市清水區預售屋/新建案-預約賞屋，遠雄房地產,/buildings/h707,118,-0.9508333333333333,134,-0.9516768842408944,0.7313432835820896,0.02270041622447518,0,-1,14,-0.9765494137353434,0,-1,0,-1,0,-1,0,,0,-1
水湳遠雄綠美：鄰近綠美圖與中央公園，入主智慧經貿特區預售屋,/buildings/bh9,117,,126,,0.9365079365079365,,0,,24,,0,,0,,0,,0,,3,
共同繼承來的房地產，要如何進行分割呢？ | 永然法律不動產專欄 - 遠雄房地產,/life-proposal/expert_law_y-rlee_property-division,114,,126,,0.8174603174603174,,0,,0,,0,,0,,0,,0,,0,
2025房市回顧與2026盤整展望：政策與市場趨勢解析｜劉佩真觀點 - 遠雄房地產,/life-proposal/expert_peizhen_real-estate-2026,105,,121,,0.71900826446281,,0,,0,,0,,0,,0,,0,,0,
楠梓高大特區寵物友善地點推薦：必訪5家餐廳＋3大寵物同樂好去處 - 遠雄房地產,/life-proposal/area-kaohsiung-nanzi_nuk_pet-cafe_20250613,108,-0.2,120,-0.1836734693877551,0.8083333333333333,-0.06437007874015742,0,,0,,0,,0,,0,,0,,0,
建商怎麼挑？25大優質建商特色、挑選指標介紹，購屋族必看！ - 遠雄房地產,/life-proposal/kw_brand_construction_20240109,109,,119,,0.7899159663865546,,0,,0,,0,,1,,0,,0,,0,
夫妻買房登記誰名下？律師拆解共同持有與借名登記風險,/life-proposal/expert_law_y-rlee_joint-ownership,99,,117,,0.8547008547008547,,0,,0,,0,,0,,1,,0,,0,
只有不動產怎麼繳遺產稅？實物抵繳是否划算？｜專家觀點地政篇 - 遠雄房地產,/life-proposal/expert_zhu_property_offset-2_20241220,112,,116,,0.75,,0,,0,,0,,0,,0,,0,,0,
遠房實價登錄,/buildings/bh9,106,-0.9265927977839336,115,-0.9247382198952879,1,0,0,,0,,0,,0,,0,,8,-0.875,0,
防範代書詐騙，如何查詢地政士的合法性？｜專家觀點地政篇 - 遠雄房地產,/life-proposal/expert_zhu_expert_zhu_land-agent_20250917,104,,108,,0.7222222222222222,,0,,0,,0,,0,,0,,0,,0,
(not set),/campaign/index.html,70,,104,,0.6153846153846154,,0,,0,,0,,0,,0,,0,,0,
未婚情侶合資買房在法律上要注意什麼｜永然法律不動產專欄 - 遠雄房地產,/life-proposal/expert_law_y-rlee_co-buying,98,,103,,0.6601941747572816,,0,,0,,0,,1,,0,,0,,0,
遠房實價登錄,/buildings/h902,100,49,102,50,0.9901960784313726,-0.009803921568627416,0,,0,,0,,0,,0,,0,,0,
建案熱區巡禮：北投士林科技園區 - 交通篇 - 遠雄房地產,/life-proposal/area-tpe-beitou_bstp_traffic_20240705,88,-0.6521739130434783,101,-0.6431095406360424,0.7425742574257426,-0.11329740568993604,0,-1,0,,0,-1,0,-1,0,,0,,0,
大河商爵-台北市士林區廠辦/預售新建案-預約賞屋，遠創力行銷,(not set),78,-0.24271844660194175,101,-0.2887323943661972,0.07920792079207921,0.8745874587458746,5,,6,1,0,,3,2,0,,0,,0,
遠雄房地產精選預售屋(台北、新北、台中、桃園、台南、高雄) - 遠雄房地產,/buildings/bh13,99,,99,,1,,0,,0,,0,,0,,0,,0,,0,
[影音] 婚前買房v.s婚後買房｜房子登記誰的名字好｜專家觀點地政篇 - 遠雄房地產,/life-proposal/expert_zhu_marriage_20230614,93,,96,,0.7604166666666666,,0,,0,,0,,0,,0,,0,,0,
買房不只付總價！首購族必知契稅、印花稅與持有稅比例分攤試算,/life-proposal/taxes,84,,96,,0.75,,0,,0,,0,,0,,0,,0,,0,
高雄楠梓區高大特區生活圈 | 建案熱區巡禮 - 遠雄房地產,/life-proposal/area-kaohsiung-nanzi_nuk_function_20250211,70,,96,,0.5729166666666666,,0,,0,,0,,0,,0,,0,,0,
遠房實價登錄,/buildings/eh5,95,0.021505376344086023,95,-0.010416666666666666,1,0,0,,0,,0,,0,,0,,11,0.375,0,
北士科遠雄泱玥：水岸首排57-75坪大器空間，坐擁絕美壯闊景觀,/,90,,94,,1,,0,,39,,0,,0,,0,,0,,2,
台中預售屋怎麼挑？各區房價、TOP36建案分析，買屋前必看！,/life-proposal/area_presold-house-in-taichung,86,,93,,0.6881720430107527,,0,,0,,0,,0,,0,,0,,0,
預售屋買賣契約簽約時應注意「契約審閱期」｜永然法律不動產專欄 - 遠雄房地產,/life-proposal/expert_law_y-rlee_contract_20250613,86,,93,,0.7634408602150538,,0,,0,,0,,0,,0,,0,,0,
守護個人資訊安全，一起保障您的隱私權益｜ 遠雄房地產,/buildings/hm2,92,,92,,1,,15,,0,,8,,2,,2,,0,,0,
預售屋付款方式有哪些？要準備多少錢？掌握付款5階段與注意事項,/life-proposal/pre-sale-house-payment-methods,61,,92,,0.7934782608695652,,0,,0,,0,,1,,0,,0,,0,
台南預售屋全攻略：最新行情、熱門區域房價與建案挑選祕訣,/life-proposal/area_presold-house-in-tainan,85,,91,,0.6703296703296703,,0,,0,,0,,0,,0,,0,,0,
遠雄房地產服務條款暨隱私權聲明｜保障您的個人資訊與使用權益,/terms-of-service_and_privacy,85,,90,,0.7777777777777778,,4,,0,,1,,1,,0,,0,,0,
找不到頁面 - 遠雄房地產,/buildings/ao1,87,1.2307692307692308,87,0.6111111111111112,0.022988505747126436,-0.9704433497536946,0,,0,,0,,0,,0,,0,,0,
2026年房地產市場將面臨八大考驗｜李同榮觀點 - 遠雄房地產,/life-proposal/expert_li_housing-challenges-2026,82,,87,,0.6436781609195402,,0,,0,,0,,0,,0,,0,,0,
預售屋買賣契約中的交屋保留款與建材設備約定｜永然法律不動產專欄 - 遠雄房地產,/life-proposal/expert_law_y-rlee_retention-money_20250704,71,,83,,0.7590361445783133,,0,,0,,0,,0,,0,,0,,0,
關於我們｜遠雄房地產服務條款，守護用戶使用權益，確保資訊安全,/terms-of-service,79,,82,,0.5487804878048781,,0,,0,,1,,2,,0,,0,,0,
抗酷暑 ! 室內空間降溫這樣做，植栽除了打造綠色空間也能降溫 - 遠雄房地產,/life-proposal/space_design_greencooldown_20240903,76,-0.5846994535519126,82,-0.5751295336787565,0.7195121951219512,-0.008101045296167318,0,,0,,0,-1,0,-1,0,,0,,0,
社區管理費與公共基金解析：掌握用途與收費標準，維護高品質生活,/life-proposal/land_fund,78,,80,,0.625,,0,,0,,0,,0,,0,,0,,0,
權狀坪數與室內坪數差在哪？看懂買房坪數組成，首購族不再被混淆 - 遠雄房地產,/life-proposal/ping,78,,80,,0.7875,,0,,0,,0,,0,,0,,0,,0,
【遠雄樂元】北屯機捷X好市多，雙首排大道最核心，夠近才最好,(not set),58,,78,,0.08974358974358974,,0,,5,,0,,0,,0,,0,,1,
賣房想省稅？別踩房地合一稅虛報裝修陷阱 | 專家觀點地政篇 - 遠雄房地產,/life-proposal/expert_zhu_false-renovation-traps,51,,78,,0.5128205128205128,,0,,0,,0,,0,,0,,0,,0,
遠雄綠禾-台南市永康區新成屋/新建案-預約賞屋，遠雄房地產,/buildings/dh3,74,,77,,0.6753246753246753,,0,,15,,0,,0,,1,,0,,0,
北士科建案【遠雄明玥】2000坪全街廓只蓋一棟．25-46坪,/,67,,71,,1,,0,,32,,0,,0,,0,,0,,3,
專家觀點：解析最新房市動向與購屋建議，遠雄房地產深度置產指引,/life_proposal/experts_point,67,,71,,0.2535211267605634,,0,,0,,0,,0,,0,,0,,0,
專家觀點地政篇：不動產抵押權重點詳解 - 遠雄房地產,/life-proposal/expert_zhu_hypothec_20230815,63,-0.5467625899280576,71,-0.538961038961039,0.7323943661971831,-0.1706710853355426,0,,0,,0,,0,,0,,0,,0,
台中西屯七期重劃區核心生活圈 | 建案熱區巡禮 - 遠雄房地產,/life-proposal/area-txg-7th_function_20231107,61,,71,,0.5915492957746479,,0,,0,,0,,0,,0,,0,,0,
新成屋、預售屋簽約注意事項–「首購族看房買屋攻略」 - 遠雄房地產,/life-proposal/contract,60,0.6216216216216216,71,0.6511627906976745,0.5915492957746479,-0.27323943661971833,0,,0,,0,,0,,0,,0,,0,
高雄建案推薦【遠雄峰蘊】- 三民區預售屋．近科工館,/buildings/eh5,70,,70,,1,,1,,22,,0,,2,,0,,0,,5,
遠雄房地產精選預售屋(台北、新北、台中、桃園、台南、高雄) - 遠雄房地產,/buildings/dh6,68,,69,,1,,0,,0,,1,,0,,0,,0,,0,
